iteration,plain PH::zc,w_damping x0.5::zc,rho reduction (geom x0.7)::zc,W reset + rho x0.5::zc,W average over cycle::zc,"prox-boost (x10, 5 iters, one-shot)::zc","prox-refire (x10, 5 iters, cooldown 5)::zc","prox-hold (x10, held to end)::zc","prox-escalate (x10 base, x2/5 iters)::zc","smoothing (r=0.1, b=0.2)::zc",fix (slam analogue)::zc,plain PH::gap,w_damping x0.5::gap,rho reduction (geom x0.7)::gap,W reset + rho x0.5::gap,W average over cycle::gap,"prox-boost (x10, 5 iters, one-shot)::gap","prox-refire (x10, 5 iters, cooldown 5)::gap","prox-hold (x10, held to end)::gap","prox-escalate (x10 base, x2/5 iters)::gap","smoothing (r=0.1, b=0.2)::gap",fix (slam analogue)::gap
41,13,13,7,11,14,13,13,14,,21,7,60.889,142.444,14262.444,540.889,47.778,87.778,41.333,35.556,,628.667,220.444
42,13,13,7,11,12,13,13,14,,19,5,38.222,188.444,14116.222,243.333,86.0,181.556,56.0,32.222,,370.889,705.778
43,13,13,7,11,12,13,13,14,,20,5,10.222,197.111,25101.556,234.0,74.444,108.222,67.111,30.667,,251.333,539.111
44,13,13,7,11,12,13,13,14,,18,5,37.778,193.111,15000.0,242.889,40.444,144.667,73.556,41.556,,431.333,365.333
45,11,13,6,13,11,13,13,14,,18,4,23.778,74.667,19590.0,253.778,23.778,110.667,74.0,24.222,,273.333,365.333
46,11,13,6,13,11,13,13,14,,18,4,46.667,68.667,26506.222,227.111,23.556,122.889,182.222,25.111,,62.889,365.333
47,11,13,6,13,11,13,13,14,,19,2,55.111,35.778,25374.222,123.333,38.667,64.667,246.889,28.222,,130.0,365.333
48,11,13,6,13,11,11,13,14,,19,2,90.889,48.222,14111.111,188.444,32.889,77.111,133.556,31.556,,120.0,0.0
49,11,13,6,11,11,11,13,14,,19,,42.667,53.778,18036.0,571.111,20.0,65.333,149.333,37.111,,218.222,
50,11,14,6,11,11,11,13,14,,19,,40.889,50.889,17190.667,272.222,143.556,58.667,150.889,40.0,,215.778,
51,13,14,6,11,11,11,13,14,,17,,42.667,42.667,24345.333,262.444,114.0,65.556,46.222,44.0,,198.667,
52,13,12,6,11,11,11,13,14,,17,,51.556,108.444,15101.111,297.778,113.333,99.556,12.222,12.444,,218.667,
53,13,12,6,15,11,11,13,14,,16,,28.444,64.667,23596.889,223.111,105.778,21.333,12.0,15.333,,211.333,
54,13,11,6,15,11,11,13,14,,15,,33.333,19.556,27952.0,196.222,250.889,40.0,10.444,14.222,,216.0,
55,11,11,6,15,9,11,13,14,,15,,25.778,22.889,23388.222,198.222,200.222,34.222,6.444,25.333,,374.0,
